Lurraldea;Udalerria;Udalerriaren kod.;Hauteskunde-oharra;Oharra;Errolda;Botoak;Baliogabeak;Baliodunak;Zuriak;Botoak hautagaitzei;Abstentzioa;EAJ-PNV;PP;PH;PCTE / ELAK;PSE-EE/PSOE;PUM+J;O.E.;EH BILDU;VOX;EB-AZ;PACMA;PODEMOS-AHAL DUGU - ALIANZA VERDE;IZAN;SUMAR
Bizkaia;ETXEBARRI;	029;;;9068;5711;37;5674;67;5607;3357;40.89;8.0;0.14;0.09;17.2;0.12;;21.4;2.77;0.6;0.76;2.33;0.12;4.41
Bizkaia;ETXEBARRIA;	030;;;567;427;3;424;7;417;140;46.7;0.71;0.0;0.24;0.94;0.0;;47.41;0.0;0.0;0.24;0.47;0.47;1.18
Bizkaia;FORUA;	906;;;762;576;3;573;5;568;186;43.28;2.09;0.0;0.0;3.66;0.17;;45.72;0.52;0.17;0.0;1.92;0.0;1.57
Bizkaia;FRUIZ;	035;;;433;337;3;334;3;331;96;44.01;2.4;0.0;0.3;0.9;0.0;;44.91;1.5;0.3;0.9;2.1;0.0;1.8
Bizkaia;GALDAKAO;	036;;;23951;14889;90;14799;141;14658;9062;37.21;5.66;0.08;0.11;12.91;0.14;;35.08;1.78;0.27;0.45;2.34;0.13;2.91
Bizkaia;GALDAMES;	037;;;682;486;10;476;4;472;196;48.74;1.89;0.0;0.0;5.25;0.0;;37.39;0.63;0.42;0.63;1.89;0.0;2.31
Bizkaia;GAMIZ-FIKA;	038;;;1156;861;7;854;7;847;295;50.12;2.46;0.12;0.0;3.63;0.0;;39.46;0.59;0.12;0.23;1.29;0.23;0.94
Bizkaia;GARAI;	039;;;272;244;2;242;;242;28;48.35;2.89;0.0;0.0;2.89;0.0;;41.32;1.65;0.0;0.0;2.07;0.0;0.83
Bizkaia;GATIKA;	040;;;1303;882;5;877;11;866;421;49.03;2.39;0.0;0.11;3.76;0.0;;38.08;0.57;0.0;0.68;1.25;1.25;1.6
Bizkaia;GAUTEGIZ ARTEAGA;	041;;;723;570;4;566;9;557;153;45.94;1.77;0.0;0.0;2.47;0.0;;43.82;0.71;0.0;0.0;1.77;0.18;1.77
